"Latitude","Longitude","LAW_CAT_CD"
40.8450459380001,-73.8804181479999,"FELONY"
40.7603961390001,-73.7675025349999,"FELONY"
40.829640499,-73.9152111449999,"MISDEMEANOR"
40.784507365,-73.975482557,"MISDEMEANOR"
40.841091931,-73.868823978,"VIOLATION"
40.8657226810001,-73.923440887,"FELONY"
40.652531464,-73.921281735,"FELONY"
40.653387808,-73.906573067,"MISDEMEANOR"
40.8981963410001,-73.86490236,"MISDEMEANOR"
40.7042247,-73.766230515,"MISDEMEANOR"
40.7177402830001,-73.911652289,"FELONY"
40.6830838010001,-73.945309037,"FELONY"
40.5915249710001,-74.164861945,"VIOLATION"
40.6399416180001,-74.0819455819999,"MISDEMEANOR"
40.722183568,-73.981786406,"MISDEMEANOR"
40.752809101,-73.979287609,"FELONY"
40.730333138,-73.9189780689999,"FELONY"
40.6725739510001,-73.910176398,"MISDEMEANOR"
40.6302304110001,-74.162215913,"MISDEMEANOR"
40.691732872,-73.935295276,"FELONY"
40.73669807,-73.983316026,"MISDEMEANOR"
40.816004035,-73.9261606699999,"FELONY"
40.829298286,-73.91641125,"MISDEMEANOR"
40.7586246750001,-73.829670268,"MISDEMEANOR"
40.670655072,-73.91339092,"MISDEMEANOR"
40.868467378,-73.821582846,"MISDEMEANOR"
40.673503366,-73.871453598,"MISDEMEANOR"
40.7191377400001,-73.838605937,"MISDEMEANOR"
40.8377816180001,-73.919457971,"MISDEMEANOR"
40.697942826,-73.82021438,"FELONY"
40.792626382,-73.950231775,"MISDEMEANOR"
40.8368463410001,-73.943726253,"FELONY"
40.807699163,-73.947384858,"VIOLATION"
40.8405569400001,-73.928417514,"MISDEMEANOR"
40.7294038950001,-73.860157209,"MISDEMEANOR"
40.795472239,-73.963805747,"MISDEMEANOR"
40.6964334250001,-73.779323357,"MISDEMEANOR"
40.694494381,-73.981736271,"MISDEMEANOR"
40.8332424430001,-73.89022159,"FELONY"
40.5778588110001,-73.956414362,"MISDEMEANOR"
40.7522595340001,-73.85358003,"VIOLATION"
40.7218227910001,-73.9752783329999,"MISDEMEANOR"
40.847277155,-73.910442906,"VIOLATION"
40.644384358,-73.9383104309999,"MISDEMEANOR"
40.876893389,-73.850401882,"MISDEMEANOR"
40.7520716130001,-73.970575055,"MISDEMEANOR"
40.7492857990001,-73.878540057,"VIOLATION"
40.7261674470001,-73.9931320649999,"FELONY"
40.74072203,-73.88372327,"MISDEMEANOR"
40.6679290160001,-73.956067132,"MISDEMEANOR"
40.67459999,-73.930574822,"FELONY"
40.754384562,-73.9673400139999,"MISDEMEANOR"
40.881755556,-73.8823555609999,"MISDEMEANOR"
40.795665822,-73.935663774,"MISDEMEANOR"
40.666041572,-73.906966271,"FELONY"
40.70530625,-73.809478873,"VIOLATION"
40.648997405,-74.01524868,"FELONY"
40.577587416,-73.9763360709999,"MISDEMEANOR"
40.8227658600001,-73.912708794,"MISDEMEANOR"
40.694593238,-73.7934728499999,"MISDEMEANOR"
40.655639713,-73.911539907,"MISDEMEANOR"
40.6443124360001,-73.987926306,"FELONY"
40.6183014060001,-74.033172615,"FELONY"
40.884196956,-73.8982346779999,"VIOLATION"
40.7612481690001,-73.994298014,"MISDEMEANOR"
40.5639249060001,-74.116364189,"MISDEMEANOR"
40.8623585400001,-73.8964134669999,"FELONY"
40.613058583,-74.0788006619999,"VIOLATION"
40.6623216990001,-73.9386542839999,"VIOLATION"
40.835876081,-73.872928722,"FELONY"
40.656343749,-73.925065139,"FELONY"
40.691011529,-73.983457271,"MISDEMEANOR"
40.8691617810001,-73.840313582,"MISDEMEANOR"
40.684881827,-73.979546676,"VIOLATION"
40.6303479220001,-74.144055018,"FELONY"
40.7765552110001,-73.923760036,"FELONY"
40.871481282,-73.868807418,"MISDEMEANOR"
40.7562662070001,-73.990501248,"MISDEMEANOR"
40.6929379700001,-73.7980180329999,"MISDEMEANOR"
40.8827509220001,-73.854981494,"MISDEMEANOR"
40.6954689410001,-73.982825079,"MISDEMEANOR"
40.727958191,-73.856335793,"VIOLATION"
40.621795467,-74.0824240119999,"FELONY"
40.86184029,-73.8433173459999,"MISDEMEANOR"
40.6706662720001,-73.957975908,"FELONY"
40.853011321,-73.9110569219999,"VIOLATION"
40.652516387,-73.9233431759999,"VIOLATION"
40.8218624080001,-73.942640554,"FELONY"
40.6952056110001,-73.983982735,"VIOLATION"
40.655639713,-73.911539907,"FELONY"
40.8378745140001,-73.91139157,"FELONY"
40.6612430260001,-73.944090648,"MISDEMEANOR"
40.836678228,-73.915596087,"FELONY"
40.712199486,-73.9956548759999,"FELONY"
40.8554987300001,-73.868669043,"VIOLATION"
40.6800964720001,-73.912556632,"MISDEMEANOR"
40.827115607,-73.948030747,"VIOLATION"
40.7702112690001,-73.9822426059999,"MISDEMEANOR"
40.631130773,-74.020500982,"MISDEMEANOR"
40.66754784,-73.786866253,"MISDEMEANOR"
40.6578848020001,-73.914989733,"FELONY"
40.7598697550001,-73.8289704119999,"VIOLATION"
40.7433726300001,-73.8701026259999,"FELONY"
40.637828067,-73.9795574939999,"FELONY"
40.7338967580001,-74.005395837,"MISDEMEANOR"
40.7702112690001,-73.9822426059999,"MISDEMEANOR"
40.741936083,-73.993512965,"FELONY"
40.6424657840001,-74.079516424,"MISDEMEANOR"
40.7598915360001,-73.936792065,"FELONY"
40.7451198410001,-73.991195744,"FELONY"
40.8833402540001,-73.914730391,"VIOLATION"
40.688783147,-73.947893361,"MISDEMEANOR"
40.8366493870001,-73.849531085,"MISDEMEANOR"
40.8752446840001,-73.851063697,"FELONY"
40.677216091,-73.74929406,"MISDEMEANOR"
40.679670066,-73.936136211,"VIOLATION"
40.685878765,-73.7935827709999,"MISDEMEANOR"
40.733670229,-73.980884807,"MISDEMEANOR"
40.741776724,-73.916127702,"MISDEMEANOR"
40.673484597,-74.000181695,"VIOLATION"
40.742529088,-73.996796875,"VIOLATION"
40.5859443210001,-74.101266912,"VIOLATION"
40.891202169,-73.861979708,"MISDEMEANOR"
40.758617622,-73.9832094669999,"VIOLATION"
40.758368992,-73.938248185,"VIOLATION"
40.578772821,-73.956388566,"MISDEMEANOR"
40.574825477,-73.99092661,"VIOLATION"
40.577587416,-73.9763360709999,"FELONY"
40.8201058140001,-73.955077885,"MISDEMEANOR"
40.726420557,-73.913419469,"VIOLATION"
40.7027512120001,-74.0142150629999,"FELONY"
40.736844412,-73.857492989,"MISDEMEANOR"
40.752669966,-73.832497148,"VIOLATION"
40.662453171,-73.949362905,"FELONY"
40.8342274070001,-73.905260313,"MISDEMEANOR"
40.8102176950001,-73.9394969419999,"MISDEMEANOR"
40.833496725,-73.941578941,"MISDEMEANOR"
40.71774394,-74.003291408,"MISDEMEANOR"
40.7110270480001,-74.010800952,"FELONY"
40.810541447,-73.9392582259999,"VIOLATION"
40.640810715,-73.9986574289999,"MISDEMEANOR"
40.853653041,-73.906891831,"FELONY"
40.6763513490001,-73.910928398,"MISDEMEANOR"
40.5994874200001,-73.9897745329999,"FELONY"
40.6569063800001,-73.885091156,"FELONY"
40.847913576,-73.90999024,"MISDEMEANOR"
40.7217878450001,-73.978979776,"FELONY"
40.7523879170001,-73.973274664,"MISDEMEANOR"
40.688406843,-73.9316421939999,"MISDEMEANOR"
40.758228256,-73.986122517,"MISDEMEANOR"
40.511586338,-74.249303727,"MISDEMEANOR"
40.586049449,-74.168394728,"MISDEMEANOR"
40.6870736810001,-73.94320361,"MISDEMEANOR"
